Ad,Başrol,Bölüm sayısı,Durumu,Format,Gösterim süresi,Kanal,Senarist,Sezon sayısı,Tür,Yapım şirketi,Yapımcı,Yayın tarihi,Yönetmen,Ülke
Büyük Sürgün Kafkasya,Tolga SarıtaşElif AtakanNilüfer AçıkalınErtan SabanLuran AhmetiMelis BirkanElyesa KasoMustafa JasarErman Saban,4,6,Televizyon dizisi,104,TRT 1 (HD),Ali Can YaraşÖzge Efendioğlu,1,282,314 Film Yapım,Ali Can YaraşÖzge Efendioğlu,15 Aralık 20155 Ocak 2016,Mehmet Ada Öztekin,Türkiye
Çınarın Gölgesinde,Pelin BölükbaşZeynep Müjde AkdenizSemanur UçarAli Alper TürkanMustafa Onur AkpınarSevinç ErolEmre ÇaltılıAyşegül AslanAliye KarahanEylül BaşoğluDeniz İrem MarkoçEsra Yıldıranİremnur KaraaslanKuzeykan ÇobanAli Oğuz ŞenolErdoğan Tutkun,70,14,Televizyon dizisi,100,Samanyolu TV,Erkan Çıplak,1,81,Ay Yapım,Murat Kesgin,3 Ağustos 2015 - 13 Kasım 2015,Ahu Atılganİlyas Yavuz,Türkiye
Çilek Kokusu,Demet Özdemir Yusuf Çim Ekin Mert Daymaz Mahir Günşiray Mine Tugay Murat Başoğlu Laçin Ceylan,23,6,Televizyon dizisi,110,Star TV,Kerem Çatay,1,67,Gold Film,Faruk Turgut,24 Haziran 2015 - 27 Kasım 2015,Filiz Gülmez Pakman Adnan Güler,Türkiye
Eşkıya DünyayaHükümdar Olmaz,1. sezon Oktay Kaynarca Deniz Çakır Müjde Uzman Yunus Emre Yıldırımer Ozan Akbaba Tarık Ünlüoğlu 2. sezon Oktay Kaynarca Deniz Çakır Sanem Çelik Yunus Emre Yıldırımer Ozan Akbaba Tarık Ünlüoğlu 3. sezon Oktay Kaynarca Deniz Çakır Sanem Çelik Mesut Akusta Olgun Şimşek Yunus Emre Yıldırımer Ozan Akbaba Tarık Ünlüoğlu 4. sezon Oktay Kaynarca Mustafa Üstündağ Hüseyin Avni Danyal Yunus Emre Yıldırımer Ozan Akbaba Tarık Ünlüoğlu 5. sezon Oktay Kaynarca Naz Elmas Mustafa Üstündağ Hüseyin Avni Danyal Yunus Emre Yıldırımer Ozan Akbaba Burak Sergen 6. sezon Oktay Kaynarca Sanem Çelik Hüseyin Avni Danyal Yunus Emre Yıldırımer Ozan Akbaba Ali Sürmeli,199,14,Televizyon dizisi,120,atv (2015-2021),Raci Şaşmaz (1-123) Bahadır Özdener (1-199) Berna Aruz (124-199),6,54,Ay Yapım,Raci Şaşmaz (1-123) atv İç Yapımlar (124-199),8 Eylül 2015 - 15 Haziran 2021,Onur Tan (1-199) Zübeyr Şaşmaz (140-199) Baran Özçaylan (140-199),Türkiye
Evli ve Öfkeli,Ayça ErturanBirce AkalayYıldız Çağrı AtiksoyEbru CündübeyoğluSarp AkkayaBurak SevinçSerkan AltunorakSinan Eroğlu,30,6,Televizyon dizisi,125,atv,Kerem Çatay,1,81,Süreç Film,Ali Gündoğdu,4 Ekim 2015 - 15 Mayıs 2016,Kerem Çatay,Türkiye
Heredot Cevdet Saati,Hasan KaçanFatih Kaçan,138,6,Televizyon dizisi,15,TRT 1 (HD),Kerem Çatay,2,198,Staff Film,Eyüp Üstün,6 Nisan 2015 - 29 Ocak 2016,Özgür Pak,Türkiye
İlişki Durumu: Karışık,Seren ŞirinceBerk OktayEda EcePamir PekinNurseli İdiz,40,6,Televizyon dizisi,100,Show TV (HD),Banu Kiremitçi Bozkurt,1,72,MF Yapım,Faruk Bayhan,4 Temmuz 2015 - 27 Nisan 2016,Bülent İşbilen,Türkiye
İnadına Aşk,Can YamanAçelya TopaloğluNilay DuruEren Vurdem,32,6,Televizyon dizisi,120,FOX,Nehir ErdemAyşe Ferda EryılmazAslı Gönülay,1,259,Sinegraf,Osman Sınav,2 Temmuz 2015 - 3 Şubat 2016,Osman SınavYusuf Ömer Sınav,Türkiye
Kara Ekmek,Özlem YılmazEngin HepileriUshan ÇakırAltan ErkekliGülçin SantırcıoğluElifcan OngurlarAnıl İlter,37,6,Televizyon dizisi,104,atv,Gül Abus SemerciYelda Eroğlu,2,81,Limon Film,Hayri Aslan,23 Ocak 2015 - 25 Aralık 2015,Taner AkvardarSelin Kılıçarslan,Türkiye
Kara Sevda,Burak ÖzçivitNeslihan AtagülKaan Urgancıoğlu,74,6,Televizyon dizisi,140,Star TV (HD),Burcu GörgünÖzlem Yılmaz,2,69,Ay Yapım,Kerem ÇatayPelin Diştaş,14 Ekim 2015 - 21 Haziran 2017,Hilal Saral,Türkiye
Kırgın Çiçekler,İpek KarapınarÖzgür ÇevikBiran Damla YılmazGökçe AkyıldızHazar MotanÇağla IrmakAleyna Solaker,113,6,Televizyon dizisi,140,atv,Gül Abus SemerciYelda Eroğlu,3,106,Ay Yapım,NTC Medya,29 Haziran 2015 - 12 Mart 2018,Serkan Birinci,Türkiye
Kiralık Aşk,Barış ArduçElçin SanguSalih BademciMüjde UzmanSeçkin ÖzdemirOnur BüyüktopçuNergis KumbasarLevent Ülgen,69,6,Televizyon dizisi,120,Star TV (HD),Meriç Acemi,2,163,Ortaks Yapım,Müge Turalı PakMelda Perahya YalçınMehmetcan Yüksel,19 Haziran 2015 - 20 Ocak 2017,Metin Balekoğlu (1-20)Barış Yöş (21-43)Şenol Sönmez (44-69),Türkiye
Maral: En Güzel Hikayem,Hazal KayaAras Bulut İynemliCan Nergis,17,6,Televizyon dizisi,120,TV8 (2015),Gökhan HorzumKorean DerinsuCaner YalçınHazar KoziceSerpe Yener,2,113,Medyapım,Arzu Eğmir,5 Mart 2015 - 4 Kasım 2015,Bahadar İnce,Türkiye
Muhteşem Yüzyıl: Kösem,1. sezon Beren Saat Ekin Koç Aslıhan Gürbüz Anastasia Tsilimpiou Hülya Avşar Tülin Özen 2. sezon Nurgül Yeşilçay Metin Akdülger Farah Zeynep Abdullah Tugay Mercan,60,6,Televizyon dizisi,125,Star TV (HD) (2015-2016) FOX (HD) (2016-2017),Yılmaz Şahin Özen Yula,2,284,Tims Productions,Timur Savcı,12 Kasım 2015 - 27 Haziran 2017,Çağatay TosunZeynep Günay,Türkiye
Poyraz Karayel,İlker KaleliBurçin TerzioğluMusa Uzunlar,82,6,Televizyon dizisi,130,Kanal D (HD),Ethem Özışık,3,242,Limon Film,Hayri Aslan,7 Ocak 2015 - 1 Mart 2017,Çağrı Vila Lostuvalı (1-62)Osman Taşcı (63-82),Türkiye
Racon: Ailem İçin,Mehmet AslantuğHande DoğandemirSeçkin ÖzdemirBarış ArduçEkin TürkmenSarp AkkayaSezin AkbaşoğullarıEmir BenderlioğluÇağkan Çulha,4,6,Televizyon dizisi,120,atv,Alican YaraşÖzge Efendioğlu,1,110,TMC,Erol Avcı,10 Mart 2015 - 31 Mart 2015,Mehmet Ada Öztekin Çağan Irmak,Türkiye
Sen Benimsin,Gökhan KeserRüveyda Öksüz,13,6,Televizyon dizisi,120,FOX,Savaş KorkmazSerdar SoyanPınar Ordu ArslanTalat Karagöz,1,113,Pastel Film,Yaşar İrvülEfe İrvül,19 Haziran 2015 - 13 Eylül 2015,Kudret Sabancı,Türkiye
Sevdam Alabora,Kadir DoğuluElçin Sanguİlker KızmazGökçe YanardağBaşak ParlakSacide TaşanerMutlu GüneyMustafa AvkıranÜmit AcarMehmetcan MincinozluFırat Can Aydın,4,6,Televizyon dizisi,120,atv,Muharrem Gülmez (1-4)Pınar Uysal (1-3)Yasemin Kırbaş (1-4)Cevriye Demir Danışman (2-4)Ali Aydın (2)Nuriye Bilici (2)Ahmet Saatçioğlu (3-4)Hayriye Ersöz (4),1,81,Endemol Shine Turkey,Gökhan TatarerHakan Eren,10 Şubat 2015 - 8 Mart 2015,Aydın Bulut,Türkiye
Şehrin Melekleri,Ümit KantarcılarYiğit DikmenCenk ErtanNilay CaferFırat TanışBuse VarolArda Hacıoğlu,5,6,Televizyon dizisi,90,FOX (HD),Kerem Çatay,1,97,Ay Yapım,Boyut Film,17 Ağustos 2015 - 14 Eylül 2015,Kerem Çatay,Türkiye
Tatlı Küçük Yalancılar,Şükrü ÖzyıldızBensu SoralBüşra DeveliMelisa ŞenolsunDilan Çiçek DenizBeste Kökdemir,13,6,Televizyon dizisi,130,Star TV,Elif Usman,1,144,O3 Medya,Onur Güvenatam,6 Temmuz 2015 - 3 Ekim 2015,Cem Karcı,Türkiye
Yaz'ın Öyküsü,Ece Çeşmioğlu Vildan Atasever Tansel Öngel Çağdaş Onur ÖztürkTarık Özcan Ündüz,13,6,Televizyon dizisi,110,Kanal D (HD),Gamze Arslan İlker Arslan Cem Görgeç,1,63,D Productions,Elif Ayşe Durmaz,5 Temmuz 201527 Eylül 2015,Yağız Alp Akaydın,Türkiye
Yeter,Pelin KarahanYurdaer OkurEkin TürkmenWilma EllesRüçhan ÇalışkurHazım KörmükçüMustafa Mert Koç,40,6,Televizyon dizisi,120,atv,Vilmar ÖzçınarNâlân Merter Savaş,2,81,Koliba Film,Ata Türkoğlu,31 Aralık 2015 - 22 Aralık 2016,Tarkan KarlıdağCemal ŞanKemal Uzun,Türkiye
Yunus Emre: Aşkın Yolculuğu,Yusuf Gökhan AtalayPayidar TüfekçioğluBaran Akbulut,44,6,Televizyon dizisi,104,TRT 1,Mehmet Bozdağİsa Yıldız,2,297,Tekden Film,Kerem Çatay,18 Haziran 201524 Mayıs 2016,Kamil Aydın (1. sezon)Emre Konuk (2. sezon),Türkiye
1 Erkek 1 Kadın 2 Çocuk,Demet Evgar Emre Karayel,416,6,Televizyon dizisi,45,TürkMax (2008-2011) Star TV (2012-2013) FOX (2014-2015),Ali Alper Erze Hasan Can Kaya Meriç Acemi Utku Gürtunca Sadık Bigat Zeki Enes Akkan,8,165,Altıoklar (2008-2009)1K1E (2009-2012)Bando Yapım (2012-2015),Mehmet Karaca Müge Turalı,2 Ekim 2008 - 8 Nisan 2015,Leyla Yaman,Türkiye
Alın Yazım,Duygu KeserOzan DağgezYeşim GülOrhan AydınDeniz DurmazAyberk Aladar,240,14,Televizyon dizisi,60,Kanal D (HD) (2014-2015)TV 2 (HD) (Tekrar bölümleri) 2M TV (Marruecos) TVN (HD) (Chile) Telefuturo (Paraguay),Nebahat KüçükazayNecati KüçükazayMelike Yılman[1],2,122,Düş Gezginleri Film,Nilgün Sağyaşar,1 Eylül 2014 - 16 Ekim 2015,Irmak ÇengelAtilla Cengiz,Türkiye
Ankara'nın Dikmen'i,Bülent Emrah ParlakBurak KutGözde KansuNurseli İdiz,25,14,Televizyon dizisi,120,"Kanal D (2014, 1. sezon) atv (2014, 2. sezon)",Gani Müjde,2,191,Tükenmezkalem Film,Gani Müjde,12 Mart 2014 - 31 Aralık 2014,Osman Taşcı,Türkiye
Benim Adım Gültepe,Mete HorozoğluAyça Bingölİlker Kızmaz,8,14,Televizyon dizisi,104,Kanal D,Vural Yaşaroğlu,1,81,D Productions,E. Ayşe Durmaz,3 Eylül 2014 - 3 Kasım 2014,Zeynep GünayDeniz Koloş,Türkiye
Beyaz Karanfil,Kenan ÇobanOya UnustasıHakan BoyavÇağlar Ertuğrul,6,14,Televizyon dizisi,140,atv,Cüneyt AysanVolkan SümbülOzan AyazUygar Cengiz,1,108,Ay Yapım,Fark Film,24 Ekim 2014 - 27 Kasım 2014,Baran Özçaylan,Türkiye
Boynu Bükükler,Sedef AvcıAhmet SaraçoğluMurat AkkoyunluÜnal YeterBarış BaşarAli TutalMine TeberAhmet Olgun SünearÇağlar ErtuğrulGün KoperGüven Murat AkpınarBora AkkaşBensu SoralSevilay ŞimşekÖzüm ArkanÖznur SerçelerBarış AytaçCüneyt ÇeliksoyBengi İdil UrasNihan TarhanAnıl AltanKadir İlter,7,6,Televizyon dizisi,104,Kanal D (HD),Cüneyt İnay,1,213,Barakuda Film,Ahmet KayımtuMahmut Kayımtu,27 Şubat 2014 - 12 Nisan 2014,Ömer Uğur,Türkiye
Büyük Sır,Zeynep Ekin ÖnerEda AydınlıDeniz Gökçe KayhanGülin ErsoyŞevki Çepa,5,6,Televizyon dizisi,90,Show TV (2014),Çetin Büyükakın,1,91,Limon Yapım,Hayri Aslan,24 Şubat 2014 - 28 Şubat 2014,Raşit Çelikezer,Türkiye
Cinayet,Nurgül YeşilçayEngin Altan DüzyatanUğur PolatŞükran OvalıAhmet Mümtaz TaylanGoncagül Sunar,5,14,Televizyon dizisi,80,Kanal D (HD),Ercan Mehmet Erdem,1,249,Adam FilmAkbel Film,Tarkan KarlıdağCansu Akbel,7 Ocak 20149 Şubat 2014,Serdar AkarSadullah Şentürk,Türkiye
Diriliş Ertuğrul,Engin Altan DüzyatanKaan TaşanerHülya DarcanEsra BilgiçDidem BalçınSerdar GökhanHakan VanlıSerdar DenizLevent ÖktemHande SubaşıBurcu KıratlıBarış BağcıUğur GüneşAyberk PekcanOsman SoykutMehmet ÇevikSezgin ErdemirKürşat AlnıaçıkCem UçanErden AlkanGülsim AliGülçin SantırcıoğluMurat GaripağaoğluÇağdaş Onur ÖztürkCengiz CoşkunCavit Çetin GünerNurettin SönmezCemal HünalBurak HakkıBatuhan KaracakayaHande Soralİlker AksumAli Ersan Duru,150,6,Televizyon dizisi,120,TRT 1 (HD) TRT İzle (Dijital) YouTube TV (Dijital) Netflix (Uluslararası),Mehmet BozdağAtilla EnginOzan Bodur Aslı Zeynep Peker BozdağSerdar Özönalan,5,295,Tekden Film,Mehmet Bozdağ,10 Aralık 2014 - 29 Mayıs 2019,Metin Günay,Türkiye
Düşler ve Umutlar,Berkehan TüterMustafa UğurluÇağdaş Onur ÖztürkDenise CapezzaElçin SanguKorel Cezayirli,5,6,Televizyon dizisi,104,FOX (HD),Oya Yüce,1,81,Limon Film,Hayri Aslan,22 Mart 2014 - 19 Nisan 2014,Serpil Kurtça,Türkiye
Elif,Selin SezginVolkan ÇolpanIsabella Damla Güvenilir,940,6,Televizyon dizisi,60,Kanal 7,Kerem Çatay,5,81,Ay Yapım,Özkan İpek,15 Eylül 2014 - 10 Haziran 2019,Fulya YavuzoğluCanan Yılmaz,Türkiye
Filinta,Onur TunaBerrak TüzünataçHakan KurtaşNur FettahoğluAsena TuğalHâzım KörmükçüSerhat Tutumluer,56,14,Televizyon dizisi,110,TRT 1 (HD) (2014-2016) [2],Ömer Genç (39-56) Altuğ Küçük (1-39),2,29,Es Film,Yusuf EsenkalSerdar Öğretici,23 Aralık 2014 - 22 Nisan 2016,Osman Kaya,Türkiye
Gönül İşleri,Sinem KobalSelma ErgeçBennu YıldırımlarTimuçin Esen,28,6,Televizyon dizisi,120,Star TV,Necati Şahin,1,104,TMC Film,Erol Avcı,12 Ekim 201426 Nisan 2015,Türkan DeryaUlaş Cihan ŞimşekMurat Aksu,Türkiye
Güzel Köylü,Gizem KaracaBerk CankatMehmet Ali NuroğluZerrin SümerAhmet Mümtaz TaylanAli İpin,52,6,Televizyon dizisi,120,Star TV,Baykut BademFiliz EkinciBerk Can Doğan,1,23,Gold Film,Faruk Turgut,25 Haziran 2014 - 17 Haziran 2015,Mustafa Şevki Doğan,Türkiye
Her Sevda Bir Veda,Nik XhelilajElçin SanguDevrim EvinCemal HünalMelisa Aslı PamukGizem AyazCivan CanovaJale ArıkanEngin BenliDemet İyigünDefne HalmanBerna KoraltürkAçelya ElmasCaner ÖzyurtluUğur KarabulutGüliz ŞirinyanZeynep Kızıltan,4,6,Televizyon Dizisi,100,Show TV (HD),Gökhan HorzumMurat Koca,1,66,C Yapım,Seyhan KayaBirol Akbaba,3 Şubat 2014 - 24 Şubat 2014,Dilek KeserUlaş Güneş Kaçargil,Türkiye
Hom Ofis,Cengiz BozkurtDevrim YakutAni İpekkayaEmin GümüşkayaSamet GöksüOzan UygunÇağlar Bade TüreZeynep Sevi YılmazMesut Can TomaySarp AydınoğluÇağla Bade TüreUğur Alibaşoğlu,4,14,Televizyon dizisi,100,TV8 (HD),Birol GüvenYaşar Arak,1,191,Acun MedyaMint,Birol Güven,26 Kasım 2014 - 25 Aralık 2014,Emre Kavuk,Türkiye
Kaçak Gelinler,Selin ŞekerciAçelya TopaloğluDeniz Baysal,29,6,Televizyon dizisi,110,"Star TV (2014, 1-14. bölüm)TV8 (2014-2015, 15-29. bölüm)",Engin ElgünEkin AtalarAyşin AkbulutAtasoy Koç,1,216,NTC Medya,Mehmet Yiğit Alp,30 Haziran 2014 - 22 Ocak 2015,İnci BalabanoğluAhıska,Türkiye
Kaderimin Yazıldığı Gün,Özcan DenizHatice ŞendilBegüm Kütük YaşaroğluGürbey İleri,50,6,Televizyon dizisi,110,Star TV (HD),Muharrem BuharaÖzlem AtasoyKerim CeylanBektaş Topaloğlu,2,66,O3 Medya,Onur Güvenatam,14 Ekim 201429 Aralık 2015,Ulaş İnaçSadullah ŞentürkHakan İnan,Türkiye
Kara Para Aşk,Engin AkyürekTuba BüyüküstünErkan CanSaygın SoysalNebahat ÇehreBurak Tamdoğan,54,6,Televizyon dizisi,130,atv (HD),Eylem CanpolatSema Ergenekon,2,50,Ay Yapım,Kerem ÇatayPelin Diştaş,12 Mart 2014 - 15 Temmuz 2015,Ahmet Katıksız,Türkiye
Kertenkele,Ahmet KayakesenAsena TuğalFatih DoğanDilşad ŞimşekTurabi ÇamkıranEski başrollerTimur AcarSera TokdemirErdinç GülenerSinan ÇalışkanoğluUmut OğuzBihter DinçelEda ÖzerkanŞemsi İnkayaYıldırım Memişoğlu,85,6,Televizyon dizisi,120,atv (HD) a2 (Tekrar),Hakan Kandal Kemal Çelik,3,196,Yapım Atölyesi,Yalçın Şen,25 Ekim 2014 - 24 Aralık 2016,"Kartal Çidamlı (1-7, 72-76)Metin Balekoğlu(8-22)Murat Onbul (23-34)Cem Tabak (35-41)Hakan Arslan (42-71)Canan Çelik (74-85)Gülbin Aydın (76-85)",Türkiye
Kızıl Elma,Furkan PalalıPelin AkilAslıhan GünerBurak SergenZeynep EronatErdal Cindoruk,28,6,Televizyon dizisi,100,TRT 1 (HD),Süleyman Çobanoğlu,2,46,Sinegraf,Osman Sınav,15 Ocak 2014 - 23 Ekim 2014,Mustafa Şevki Doğan,Türkiye
Kiraz Mevsimi,Özge GürelSerkan ÇayoğluDağhan KülegeçNilperi Şahinkaya,59,6,Televizyon dizisi,90,FOX (2014-2015)teve2 (2018) (tekrar),Kerem Çatay,2,72,Süreç Film,Ali Gündoğdu,4 Temmuz 2014 - 28 Kasım 2015,Filiz Gülmez PakmanEda Teksöz,Türkiye
Kocamın Ailesi,Gökhan AlkanYeliz KuvancıSelen Seyven,57,6,Televizyon dizisi,135,FOX (HD),Nuray UsluVerda ParsŞeyda Delibaşı,2,24,Mia Yapım,Banu Akdeniz,3 Temmuz 2014 - 11 Kasım 2015,Kemal Uzun,Türkiye
Kurt Seyit ve Şura,Kıvanç TatlıtuğFarah Zeynep AbdullahBirkan SokulluFahriye EvcenUshan ÇakırElçin Sangu,21,6,Televizyon dizisi,90,Star TV (HD),Ece YörençMelek GençoğluMurat UyurkulakAylin Alıveren,2,164,Ay Yapım,Kerem Çatay,4 Mart 2014 - 20 Kasım 2014,Hilal Saral,Türkiye
Küçük Ağa,Birce Akalay Emir Berke Zincidi Sarp Levendoğlu Zeki Alasya,50,6,Televizyon dizisi,100,Kanal D,Ahmet YurdakulSinan YurdakulOzan Yurdakul,2,18,Erler Film,Türker İnanoğlu,28 Ocak 201417 Mart 2015,Aysun AkyüzErol Özlevi,Türkiye
Not Defteri,Fatih Al Ebru Özkan Ekin Mert Daymaz Tarık Özcan Ündüz Beste Kökdemir,13,15,Televizyon dizisi,100,FOX (HD),Alphan Dikmen Başak Angigün,1,179,Avşar Film,Şükrü Avşar,26 Mart 201425 Haziran 2014,Ilgaz Giritlioğlu,Türkiye
O Hayat Benim,Ezgi AsaroğluKeremcemCeren Moray,131,6,Televizyon dizisi,170,FOX,Gül Abus SemerciYelda EroğluEsin GökAli ErcivanAhmet SaatçioğluMert MeriçliÖzer Çetinel,4,69,Pastel Film,Yaşar İrvülEfe İrvül,16 Şubat 2014 - 2 Mayıs 2017,Merve GirginYıldız Hülya BilbanHamdi AlkanSadullah Şentürk,Türkiye
Paramparça,Nurgül YeşilçayErkan PetekkayaEbru ÖzkanBarış Falay,97,6,Televizyon dizisi,130,Star TV (HD) (2014-2017),Yıldız Tunç,3,14,Endomel Shine Turkey,Gökhan Tatarer H. Hakan Eren,1 Aralık 2014 - 27 Mart 2017,Cevdet Mercan (1-31) Altan Dönmez (32-97),Türkiye
Reaksiyon,Erdal Beşikçioğlu İbrahim Çelikkol Nehir Erdoğan Selen Soyder Yurdaer Okur İsmail Demirci,13,6,Televizyon dizisi,104,Star TV,Ozan AksungurEmre Özdür,1,28,Reaksiyon Film,Ozan AksungurEmre ÖzdürBaşar Başaran,15 Eylül 2014 - 18 Aralık 2014,Onur Tan,Türkiye
Sungurlar,Mert KılıçBora KarakulDilara BüyükbayraktarMerve AnlağanMehmet KüçükOkan Kemal Özkan,39,14,Televizyon dizisi,120,Samanyolu TV,Samim Utku,2,60,Ay Yapım,Salih Asan,25 Ekim 2014 - 14 Kasım 2015,Engin Koç,Türkiye
Şeref Meselesi,Kerem BürsinŞükrü Özyıldız,26,6,Televizyon dizisi,120,Kanal D (HD),Berkun OyaNuran Evren Şit,1,81,D Productions,Elif Ayşe Durmaz,23 Kasım 2014 - 17 Mayıs 2015,Altan Dönmez,Türkiye
Şimdi Onlar Düşünsün,Şafak SezerAçalya Samyeli DanoğluGökçe Özyol,18,6,Televizyon dizisi,100,TRT 1 (HD),Oktay BerberÖmer Pınar,1,191,Medyalab Yapım,Çağrı Gedikoğlu,26 Ekim 2014 - 23 Şubat 2015,Süleyman SeçikBora Onur,Türkiye
Ulan İstanbul,Uğur PolatŞebnem BozokluErkan Kolçak KöstendilKaan YıldırımSevtap ÖzaltunSalih Bademci,39,6,Televizyon dizisi,115,Kanal D (HD) (1-39),Uğraş Güneş,1,45,D Productions,Elif Ayşe Durmaz,23 Haziran 2014 - 23 Mart 2015,Murat Onbul,Türkiye
Yedi Güzel Adam,Uraz KaygılaroğluBaran AkbulutYıldız Çağrı AtiksoyKemal UçarOrhan KanalpMertcan SevimliYiğit ÇakırÇağdaş TekinKenan BalBora CengizFatih Murat TekeŞahika KoldemirPınar Gök,39,6,Televizyon dizisi,100,TRT 1 (HD),Nevin ŞahinAhmet TezcanŞilan Avcı[1],2,280,Pusula Film,İlksen FıratÖmer Can,19 Nisan 2014 - 20 Nisan 2015,Adnan Güler,Türkiye
Yeşil Deniz,Burak Serdar ŞanalMert TurakBurak AlkaşAli BarkınMelis BabadağÖykü Çelik,75,14,Televizyon dizisi,120,TRT 1 (HD),Ali Karaİdris MeydiSerkan Birlik,2,263,TFT Yapım,Ayfer Özgürel,24 Ekim 2014 - 30 Mayıs 2016,Yahya Samancı,Türkiye
Yetim Gönüller,Yağmur ÜnGürkan Günal,16,6,Televizyon dizisi,100,Samanyolu TV,Özlem Gürsoy,1,113,Ser Film,Sevim Gündoğdu Çalgan,8 Ekim 201421 Ocak 2015,Yıldız Aşanboğa,Türkiye
Yılanların Öcü,Cemal ToktaşHande SoralAhmet VarlıGözde ÇığacıNail KırmızıgülMehmet AtayGonca YakutRüçhan ÇalışkurŞebnem DilligilServet PandurHande KaptanNalan ÖrgütSüleyman KaraahmetBurak CanSibel Şişman Ceyda Kasabalı,49,6,Televizyon dizisi,110,Show TV (HD),Makbule KosifEda Tezcan,2,81,Koliba Film,Ata Türkoğlu,27 Ağustos 2014 - 2 Aralık 2015,Cemal Şan,Türkiye
Zeytin Tepesi,Aslıhan GürbüzTayanç Ayaydın,7,6,Televizyon dizisi,100,Kanal D (HD),Gülnaz Yöş SaraçoğluGüneş Saraçoğlu,1,128,MF Yapım,Kerem Çatay,5 Şubat 2014 - 2 Nisan 2014,Barış Yöş,Türkiye
20 Dakika,Tuba Büyüküstünİlker AksumFırat ÇelikBülent Emin YararMüjde Uzmanİpek BilginAyten UncuoğluCihat TamerMetin Çekmez,25,6,Televizyon dizisi,90,Star TV (HD),Kerem Deren (1-25) Pınar Bulut (1-25),1,108,Ay Yapım,Kerem Çatay,1 Ocak 2013 - 27 Haziran 2013,Serdar Işık (1-5) Ali Bilgin (6-25),Türkiye
Arkadaşım Hoşgeldin,Tolga ÇevikEzgi MolaÖzer Atik (piyanist)Sarp BozkurtFırat Doğu Parlak (yönetmen),39,6,Doğaçlama skeçler,90,Kanal D,Fırat Doğu Parlak,2,191,BKM,Necati Akpınar,31 Aralık 2013 - 31 Ocak 2015,Ebru Yalçın,Türkiye
A.Ş.K.,Nebahat ÇehreHazal KayaHakan KurtaşKaan UrgancıoğluAslı TandoğanErkan Can,13,9,Televizyon dizisi,100,Kanal D (HD),Nuran Evren ŞitSerdar Soydan,1,69,Gold Film,Faruk Turgut,25 Eylül 2013 - 30 Aralık 2013,Ömür Atay,Türkiye
Aşkın Bedeli,Zeynep AydemirArda ÖziriDeniz BolışıkAli Mert Yavuzcan,418,6,Televizyon dizisi,55,Star TV (HD),Ali AlpgezmenAysun ErdoğanMurat Can Türe,3,11,Düş Gezginleri Film,Nilgün Sağyaşar,9 Eylül 2013 - 16 Ekim 2015,Canan Evcimen Atilla Cengiz,Türkiye
Aldırma Gönül,Şahin IrmakTülin ÖzenNadir SarıbacakÇağlar Çorumlu,9,14,Televizyon dizisi,104,atv (HD),Meriç DemirayBarış ErdoğanCenk BoğaturCem Görgeç,1,203,BKM,Necati Akpınar,4 Temmuz 2013 - 29 Ağustos 2013,Hakan Algül,Türkiye
Aramızda Kalsın,Uğur YücelBinnur KayaGökçe BahadırCaner CindorukCengiz BozkurtAyça DamgacıUğur SerhanBilge ŞenHikmet KörmükçüGamze KaradumanFerit AktuğEcem ÇalıkMert KurdalMutlu GüneyTülay BursaMelis MutluçAybars Kartal ÖzsonÖzge ÖzpirinçciMesut Özkeçeci,52,6,Televizyon dizisi,104,Star TV (HD),Selin TunçMelis Başar,2,13,TMC Film,Erol Avcı,19 Eylül 2013 - 22 Ocak 2015,Hatice Memiş (1-15) Güzide Balcı (16-52),Türkiye
Aşk Ekmek Hayaller,Müjde ArBurak HakkıBerna LaçinSinan Tuzcuİrem AltuğNihal MenzilAli İpinAyça ErenNebil SayınAlara UncuDeniz BaysalAlican ÖzakoğluFurkan AndıçDilek DemirBarış HacıhanEfe KaramanElif Merve ÇolakBegüm ÇetinkayaSudenaz AkkoyunLeyla KösePelin Buse GökçekKaan ÜrkmezAydan Çakır,10,6,Televizyon dizisi,104,Show TV (HD),Kerem Çatay,1,81,ANS Productions,Abdullah Oğuz,8 Aralık 2013 - 27 Şubat 2014,Abdullah Oğuz,Türkiye
Bebek İşi,Nurgül Yeşilçay Timur Acar,34,6,Televizyon dizisi,104,Show TV (2013),Murat Gürvardar,1,191,Limon Film,Hayri Aslan,15 Temmuz 2013 - 4 Kasım 2013,Tolga Karaçelik,Türkiye
Ben de Özledim,Ali AtaySerkan KeskinOsman Sonant,13,6,Televizyon dizisi,70,Star TV (HD) (2013-2014),Burak Aksak,1,0,Eflatun Film,Orkun ÜnlüFunda Alp,25 Ekim 201329 Ocak 2014,Onur ÜnlüErkan Tunç,Türkiye
Beni Böyle Sev,Alper SaldıranZeynep ÇamcıBurcu AltınBala AtabekUmut Kurt Eda EceOzan OsmanpaşaoğluMert TurakBurcu BiricikYusuf AkgünSelen UçerFatih KoyunoğluMeral AsiltürkSerkan ÇayoğluAltan GördümLale MansurGüven KıraçZafer Algöz,89,6,Televizyon dizisi,110,TRT 1 (HD),Hakan HaksunMüjdan Kayserli,3,72,BSK Yapım,Çağrı BingüllerBaşak Bingüller,11 Şubat 2013 - 27 Şubat 2015,Cem TabakLevent Türkan,Türkiye
